# wl (nm), spectrum (a.u.), gdd (fs^2)
1.149442826461950470e-06, 7.170278336086642439e-03, -5.042941790925976320e-26
1.148123144686448798e-06, 7.225089043377595430e-03, 4.400153047149171457e-26
1.146806489704010275e-06, 7.053595321580915720e-03, -2.886963622454306681e-26
1.145492851113283974e-06, 7.186996034341789144e-03, 3.641963300380581533e-26
1.144182218560522853e-06, 7.412626599635788356e-03, -7.983155710823810509e-27
1.142874581739310801e-06, 7.341731142475102674e-03, 2.494050954332179642e-26
1.141569930390293282e-06, 7.501122448194261043e-03, -1.988957335097405009e-26
1.140268254300908612e-06, 7.791336131612992474e-03, 2.075834281101672838e-26
1.138969543305121779e-06, 8.170459886751650982e-03, 2.274507858314296852e-26
1.137673787283159113e-06, 9.354804691882817949e-03, 9.891729820534081475e-27
1.136380976161246547e-06, 1.038688160900527215e-02, 4.525159574517093068e-26
1.135091099911347257e-06, 1.264783675042626017e-02, 3.761715156405655162e-26
1.133804148550903519e-06, 1.583536964458411370e-02, 1.040443462244431575e-25
1.132520112142578583e-06, 1.978272447952244412e-02, 2.905715630611664444e-26
1.131238980794001077e-06, 2.461163855702305434e-02, 3.988346035313713381e-26
1.129960744657510689e-06, 3.214064583213591120e-02, 9.684986495528606489e-26
1.128685393929906169e-06, 4.031353932778659194e-02, 9.805876867700694008e-26
1.127412918852195036e-06, 5.115462941544648284e-02, 1.185112545716341410e-25
1.126143309709343490e-06, 6.361020018801230580e-02, 7.912391266880302378e-26
1.124876556830030348e-06, 7.954717213313199087e-02, 1.014140767630799585e-25
1.123612650586400981e-06, 9.880845085047325338e-02, 2.453410602665342859e-26
1.122351581393823581e-06, 1.210468384516575485e-01, 2.087996202439938218e-26
1.121093339710646698e-06, 1.463978674206272423e-01, -2.837895025598789465e-27
1.119837916037958470e-06, 1.762517770015616658e-01, 4.145206114177895272e-27
1.118585300919347760e-06, 2.097965875331738173e-01, 6.573681417609282193e-28
1.117335484940666988e-06, 2.471411511368690750e-01, -1.618555311205886192e-28
1.116088458729795595e-06, 2.873430070782460044e-01, 2.834020672624864769e-28
1.114844212956406899e-06, 3.314925750800538640e-01, 8.884103691280763630e-29
1.113602738331733676e-06, 3.774151110444511348e-01, 1.375670275355830848e-28
1.112364025608339041e-06, 4.245405998093680910e-01, 1.706177423454988519e-28
1.111128065579885419e-06, 4.734421925999326430e-01, 3.135000167814771800e-28
1.109894849080906690e-06, 5.226739104874534858e-01, 5.148019620934277385e-29
1.108664366986582034e-06, 5.694587266320249030e-01, 4.014384067573574763e-28
1.107436610212510409e-06, 6.158414099939145681e-01, 2.251956228183073110e-28
1.106211569714487780e-06, 6.602368417567732184e-01, 7.294147510838794820e-29
1.104989236488283926e-06, 7.016125076616730460e-01, 3.706850900283792800e-28
1.103769601569422635e-06, 7.377603874633620329e-01, 5.064372801026907935e-29
1.102552656032962323e-06, 7.718063537131661933e-01, 2.607538161522994587e-28
1.101338390993278556e-06, 8.010515153905495289e-01, 2.322364169711068587e-28
1.100126797603847002e-06, 8.250101817151500594e-01, -1.036584855850218238e-29
1.098917867057029552e-06, 8.447865806183679771e-01, 3.722401225936641356e-28
1.097711590583860444e-06, 8.614083380104211596e-01, 3.097619577559400146e-29
1.096507959453834295e-06, 8.711675259973082897e-01, 1.368494552023699155e-28
1.095306964974695401e-06, 8.769029967150918647e-01, 1.870600709628879908e-28
1.094108598492228519e-06, 8.809296904879683199e-01, 7.481489047353727080e-29
1.092912851390051131e-06, 8.804968954976748474e-01, 2.596287978525602610e-28
1.091719715089406984e-06, 8.763046298594039385e-01, 2.954063362642844883e-28
1.090529181048960680e-06, 8.694431135953197831e-01, -9.738499166162615513e-29
1.089341240764593544e-06, 8.618283508506352497e-01, 4.623496433333472581e-28
1.088155885769202239e-06, 8.502622795005667644e-01, 6.397446995857073896e-29
1.086973107632496541e-06, 8.367160156688233652e-01, 4.919642721260494433e-28
1.085792897960800071e-06, 8.216900408784706400e-01, 1.451025357846897111e-28
1.084615248396851242e-06, 8.057836823922872593e-01, 4.512896827615410187e-28
1.083440150619606540e-06, 7.862517113065338181e-01, 2.422663723053004178e-29
1.082267596344044220e-06, 7.670141872350199064e-01, 3.644956332638296970e-28
1.081097577320969700e-06, 7.472910522487221652e-01, 2.659341651610407848e-28
1.079930085336821805e-06, 7.267352315716317790e-01, 1.525668215439971332e-28
1.078765112213481123e-06, 7.056623800122319157e-01, 2.897119503473075436e-28
1.077602649808078579e-06, 6.847829207588277400e-01, -1.779359999100707480e-29
1.076442690012806119e-06, 6.650519199964053385e-01, 2.911537585218359696e-28
1.075285224754727825e-06, 6.450616660495958055e-01, -1.992169733912360162e-28
1.074130245995592718e-06, 6.257028515244302813e-01, 5.634946211658491106e-28
1.072977745731649050e-06, 6.076955396901188022e-01, -2.087194562933689561e-28
1.071827715993458586e-06, 5.890521471730385539e-01, 2.211299222744157980e-28
1.070680148845714074e-06, 5.713124555382609326e-01, 2.206178760472624386e-28
1.069535036387055437e-06, 5.548425919599062617e-01, -1.649569364396741955e-28
1.068392370749889777e-06, 5.380054940716488820e-01, 5.324022509497230410e-28
1.067252144100210112e-06, 5.226943608891404525e-01, -9.958741278021729806e-30
1.066114348637416650e-06, 5.077824815861443630e-01, 4.169514358010101291e-28
1.064978976594139339e-06, 4.935964698458867872e-01, 2.782316173902236280e-28
1.063846020236060408e-06, 4.817410762438609773e-01, 2.395045853392202560e-28
1.062715471861739463e-06, 4.701729404435919801e-01, 2.629090300976746455e-30
1.061587323802438141e-06, 4.604396840807368774e-01, 9.110236703035947471e-28
1.060461568421947959e-06, 4.526807366986374537e-01, 1.541920026706397085e-28
1.059338198116416244e-06, 4.462744348017210760e-01, 4.108679384724722939e-28
1.058217205314176731e-06, 4.416464425763018675e-01, 1.465339844795910966e-28
1.057098582475578243e-06, 4.395402753425234343e-01, 1.873406619321447623e-28
1.055982322092816139e-06, 4.387379577912445261e-01, 3.641093683509178375e-28
1.054868416689764598e-06, 4.410612682683677233e-01, 3.268214237771306780e-28
1.053756858821809118e-06, 4.446864655532456467e-01, -6.363419647302774284e-29
1.052647641075680923e-06, 4.525845023558125457e-01, 3.752772424306240087e-28
1.051540756069292213e-06, 4.628102373090411392e-01, 1.148954426264241477e-28
1.050436196451572263e-06, 4.771983578433068307e-01, -2.571366543210862142e-28
1.049333954902305219e-06, 4.948174769746675472e-01, 8.312062723598737526e-28
1.048234024131967253e-06, 5.172358650160604476e-01, -5.164238624679129230e-28
1.047136396881567322e-06, 5.439998439180768752e-01, 3.560123300309182170e-28
1.046041065922486232e-06, 5.759730495861140609e-01, 2.775177971679784597e-28
1.044948024056318455e-06, 6.119374861125926879e-01, -3.931522659011050824e-28
1.043857264114715002e-06, 6.531750216848685175e-01, 7.598095013650158425e-28
1.042768778959225241e-06, 6.989314539236176627e-01, 1.763459269873647484e-29
1.041682561481142739e-06, 7.478992876870771411e-01, 2.289979314470276653e-28
1.040598604601349617e-06, 7.995348108222077865e-01, 4.824692491691838688e-28
1.039516901270163238e-06, 8.509020221935044148e-01, 3.426793699752153635e-28
1.038437444467182682e-06, 8.998944638640915539e-01, 2.336036083856503475e-28
1.037360227201137975e-06, 9.429602097436917685e-01, 4.548750239008351539e-28
1.036285242509737621e-06, 9.762319616468764227e-01, 2.866356915655909046e-28
1.035212483459520586e-06, 9.953770173736155025e-01, 4.368450301824796410e-28
1.034141943145705101e-06, 9.978088995716858367e-01, 4.181621576029510349e-28
1.033073614692042123e-06, 9.801917913175708374e-01, 2.004396105947647133e-28
1.032007491250667534e-06, 9.431694028256335516e-01, 4.634479137170210635e-28
1.030943566001955386e-06, 8.861324689232659146e-01, -8.287203138593829345e-29
1.029881832154373696e-06, 8.126629555562888685e-01, 3.177071100378089372e-28
1.028822282944338335e-06, 7.272566028977677233e-01, 1.571039940784702779e-28
1.027764911636070935e-06, 6.348358117164729642e-01, -8.965689731994847285e-29
1.026709711521454894e-06, 5.398450995281488529e-01, 2.440789862877700613e-28
1.025656675919894347e-06, 4.478532397991610292e-01, 3.300748871853942531e-28
1.024605798178173134e-06, 3.628930743951734317e-01, -6.381595936455322102e-28
1.023557071670314191e-06, 2.867958043857313233e-01, -1.127023502083415861e-27
1.022510489797440640e-06, 2.221702918420316863e-01, -1.500852060055112655e-26
1.021466045987637294e-06, 1.680208802974933469e-01, -5.463258164661656218e-26
