# wl (nm), spectrum (a.u.), gdd (fs^2)
1.149442826461950470e-06, 5.805595167878332095e-03, -1.286252856957607538e-25
1.148123144686448798e-06, 5.638310406737189612e-03, 7.475824777270523459e-26
1.146806489704010275e-06, 5.222278348611331979e-03, -1.811766689075960100e-26
1.145492851113283974e-06, 4.717167947479858001e-03, -1.041561695480478761e-25
1.144182218560522853e-06, 5.711458097157935329e-03, -1.183572719427420783e-26
1.142874581739310801e-06, 6.050657985090726089e-03, 3.543344025053213760e-26
1.141569930390293282e-06, 7.021944948464436780e-03, 6.951142036704363586e-26
1.140268254300908612e-06, 6.479405266394820846e-03, -5.210480479665680026e-26
1.138969543305121779e-06, 6.757141607634451798e-03, -2.270866751464637112e-26
1.137673787283159113e-06, 7.265619371395930573e-03, -6.031242990452393065e-26
1.136380976161246547e-06, 8.977035684283176525e-03, -5.072782395083528969e-26
1.135091099911347257e-06, 1.209870384426622175e-02, 1.742401516369033292e-25
1.133804148550903519e-06, 1.282204251810603601e-02, -1.666135166382558171e-25
1.132520112142578583e-06, 1.857252986947490261e-02, 8.977004091600152073e-26
1.131238980794001077e-06, 2.365989701754744531e-02, 2.424453961694810080e-26
1.129960744657510689e-06, 3.026092471443346185e-02, 6.937814814623985092e-26
1.128685393929906169e-06, 3.836224099779952240e-02, 8.083212848547289886e-27
1.127412918852195036e-06, 4.844735803558358062e-02, -2.621154099771413162e-27
1.126143309709343490e-06, 6.007793398019052600e-02, 3.050882014408026483e-27
1.124876556830030348e-06, 7.613707112271024535e-02, -7.968736605594043250e-27
1.123612650586400981e-06, 9.215677798039352553e-02, 1.045062995412711113e-26
1.122351581393823581e-06, 1.161460404386304018e-01, -4.423509987625476623e-27
1.121093339710646698e-06, 1.395259045419081079e-01, 1.257036261438602509e-27
1.119837916037958470e-06, 1.678513179013845780e-01, -1.133174078438391905e-27
1.118585300919347760e-06, 1.986178678443123458e-01, -1.255019143207422149e-27
1.117335484940666988e-06, 2.343700960597528693e-01, 1.952462883145568417e-27
1.116088458729795595e-06, 2.733699166156691174e-01, -7.192626539432287625e-28
1.114844212956406899e-06, 3.150166548656035959e-01, 6.156961759884430101e-28
1.113602738331733676e-06, 3.607219955076785833e-01, -3.146851710502636974e-28
1.112364025608339041e-06, 4.047596892099323274e-01, -6.039394592739522967e-29
1.111128065579885419e-06, 4.514750039774021451e-01, 1.309213716224907064e-28
1.109894849080906690e-06, 4.982603775817072145e-01, 2.653834441173487912e-28
1.108664366986582034e-06, 5.443307719914890486e-01, -6.098131512064598331e-28
1.107436610212510409e-06, 5.883020736895157032e-01, 6.698961822221244852e-28
1.106211569714487780e-06, 6.302417335765955198e-01, -8.582574372444870415e-28
1.104989236488283926e-06, 6.690532864352520814e-01, 2.203753852603649985e-28
1.103769601569422635e-06, 7.039278055271287471e-01, 4.071038166692697304e-28
1.102552656032962323e-06, 7.374230084284468800e-01, -2.011569678202517990e-30
1.101338390993278556e-06, 7.654400273838377622e-01, 2.785109779480667124e-28
1.100126797603847002e-06, 7.883310730730926918e-01, -6.439493361151587101e-28
1.098917867057029552e-06, 8.080277788446630360e-01, 4.439774219991735590e-28
1.097711590583860444e-06, 8.240992711270591631e-01, -6.420163487045323474e-28
1.096507959453834295e-06, 8.345510042250912086e-01, 4.554344760180105945e-28
1.095306964974695401e-06, 8.398865477139109137e-01, 4.389924405399407610e-28
1.094108598492228519e-06, 8.432430326100250895e-01, -3.018271571725494554e-28
1.092912851390051131e-06, 8.428564974840304647e-01, -4.189333340540925487e-28
1.091719715089406984e-06, 8.413541688349749359e-01, 8.464629631433429897e-29
1.090529181048960680e-06, 8.357878984659480315e-01, 4.258132525524318416e-28
1.089341240764593544e-06, 8.279164523646385110e-01, 3.339869982168341068e-28
1.088155885769202239e-06, 8.170798403629695450e-01, -1.176064617103471777e-27
1.086973107632496541e-06, 8.044081130779905386e-01, 3.666510096947160541e-28
1.085792897960800071e-06, 7.908691552235567190e-01, 8.508825805127819304e-28
1.084615248396851242e-06, 7.760256769433870883e-01, -8.647248215188573448e-28
1.083440150619606540e-06, 7.561621923786920885e-01, 7.520501805972510789e-29
1.082267596344044220e-06, 7.402155973709996228e-01, 2.884385980223968032e-28
1.081097577320969700e-06, 7.197882931400114703e-01, -6.017154767413372938e-29
1.079930085336821805e-06, 6.990344855197739848e-01, 4.721449139971862940e-29
1.078765112213481123e-06, 6.792361601516074820e-01, -1.783365639730260054e-28
1.077602649808078579e-06, 6.606008260832798573e-01, 4.366123398370024903e-28
1.076442690012806119e-06, 6.431340040780734180e-01, -9.344051474212534073e-28
1.075285224754727825e-06, 6.223616042642403645e-01, 5.373910836454718124e-28
1.074130245995592718e-06, 6.038286751285977250e-01, 1.549733596111919286e-28
1.072977745731649050e-06, 5.866982584247323329e-01, -2.919961892029414983e-28
1.071827715993458586e-06, 5.694677631263090900e-01, 8.152348746362473689e-28
1.070680148845714074e-06, 5.522967049948676044e-01, -1.082049126843009979e-27
1.069535036387055437e-06, 5.367781034260470374e-01, 7.746048590203152697e-28
1.068392370749889777e-06, 5.204221623581907208e-01, -6.684497408246892386e-28
1.067252144100210112e-06, 5.055855200324201881e-01, 2.467780213155928042e-28
1.066114348637416650e-06, 4.917164814784892313e-01, 5.646978468227421364e-28
1.064978976594139339e-06, 4.791075531340058813e-01, -7.075399460245126169e-28
1.063846020236060408e-06, 4.667569854130817486e-01, 5.897668838973013248e-28
1.062715471861739463e-06, 4.562102568946554415e-01, 3.403407519593435750e-28
1.061587323802438141e-06, 4.468923610389049506e-01, -1.268164440761849496e-27
1.060461568421947959e-06, 4.400581284616754130e-01, 5.071240821575806530e-28
1.059338198116416244e-06, 4.343462552105998853e-01, 3.325431531188110796e-29
1.058217205314176731e-06, 4.291246539731560783e-01, -3.886642106809791808e-28
1.057098582475578243e-06, 4.270220311968513371e-01, 2.012106999811603043e-27
1.055982322092816139e-06, 4.276042517615369909e-01, -2.927313845462596973e-27
1.054868416689764598e-06, 4.283487807162376093e-01, 1.604048633361009117e-27
1.053756858821809118e-06, 4.329472023210005904e-01, -1.777745555920992415e-28
1.052647641075680923e-06, 4.403537799078520720e-01, -1.631547737155104283e-28
1.051540756069292213e-06, 4.495041488595958867e-01, -3.256458317242404280e-28
