# wl (nm), spectrum (a.u.), gdd (fs^2),phase
1.149442826461950470e-06, 5.666716790319422346e-03, 3.071691113839401413e-26, -3.191704471559577172e+01
1.148123144686448798e-06, 6.251182202379463107e-03, 1.611323729370599445e-26, -3.384177517240904365e+01
1.146806489704010275e-06, 5.840812449894474886e-03, -2.767610563618244529e-26, -3.305747676692061532e+01
1.145492851113283974e-06, 6.099994365944508279e-03, 2.981090505965878118e-26, -3.437836357408161803e+01
1.144182218560522853e-06, 6.095424642428533442e-03, 1.244121708178236468e-27, -3.187510525494868574e+01
1.142874581739310801e-06, 6.429239254223047782e-03, -4.860968817192768746e-27, -3.019489272081339593e+01
1.141569930390293282e-06, 6.240183153824165919e-03, -6.089438737923132881e-26, -2.720914027329826368e+01
1.140268254300908612e-06, 6.618744781442980826e-03, 1.238800681399649792e-25, -2.682856729254040573e+01
1.138969543305121779e-06, 7.445528583529411291e-03, 1.481548622657848602e-26, -2.643987560365096101e+01
1.137673787283159113e-06, 8.576610290132615985e-03, 2.599397768557353811e-26, -2.452167707194410085e+01
1.136380976161246547e-06, 9.995763567264764199e-03, -6.432285264195474791e-26, -2.180963626857781890e+01
1.135091099911347257e-06, 1.207724708065754070e-02, 2.425178029222107092e-25, -2.441262678574934952e+01
1.133804148550903519e-06, 1.504856452471944363e-02, 3.940158157100596818e-26, -2.158428654846840899e+01
1.132520112142578583e-06, 1.910258059975826136e-02, 3.909722372203560246e-27, -1.936689929175529912e+01
1.131238980794001077e-06, 2.379745470587030232e-02, 1.105525805857038447e-25, -2.245013402592918794e+01
1.129960744657510689e-06, 3.091388970860051155e-02, 1.036754251300515227e-25, -1.955154776221981550e+01
1.128685393929906169e-06, 3.856108943756902940e-02, 6.600628765285281102e-26, -1.654931274177132039e+01
1.127412918852195036e-06, 4.878235099313847634e-02, 1.025154420817184212e-25, -1.382728907940460594e+01
1.126143309709343490e-06, 6.117078045698045446e-02, 4.892951363064305811e-26, -1.099101729346193324e+01
1.124876556830030348e-06, 7.648351641370546017e-02, 1.639045377829595154e-26, -8.205331173759930152e+00
1.123612650586400981e-06, 9.459088076740472528e-02, 1.408947996375090406e-26, -5.549249940145237758e+00
1.122351581393823581e-06, 1.161577094433925844e-01, 1.069292380036570396e-26, -2.673851633211711931e+00
1.121093339710646698e-06, 1.412032592355867144e-01, -1.072737405378263840e-27, 2.206308351973279847e-01
1.119837916037958470e-06, 1.705861532741865250e-01, -1.239906259251677454e-27, 2.971316969703980071e+00
1.118585300919347760e-06, 2.028040796125528678e-01, 1.002884359094587703e-27, 5.748920894637832291e+00
1.117335484940666988e-06, 2.385522502712717763e-01, 1.510437040026548361e-28, 8.539689760865325496e+00
1.116088458729795595e-06, 2.774694873639397263e-01, -2.981980747970452284e-28, 1.133031180937878801e+01
1.114844212956406899e-06, 3.207914959329806193e-01, -2.325550055813389116e-28, 1.413210121197114688e+01
1.113602738331733676e-06, 3.655661662100856968e-01, 1.402210769342121068e-29, 1.692764636648491106e+01
1.112364025608339041e-06, 4.104901983396895271e-01, 5.967171157008837678e-28, 1.972915405668524969e+01
1.111128065579885419e-06, 4.584683290759637431e-01, -3.533233252394733369e-29, 2.251755615460617577e+01
1.109894849080906690e-06, 5.056204924817264690e-01, -8.079338724264327873e-28, 2.530994949969434771e+01
1.108664366986582034e-06, 5.522220031416130714e-01, 5.942946134160720670e-28, 2.813066946253263367e+01
1.107436610212510409e-06, 5.966200981204680120e-01, -3.651581636804477707e-28, 3.092025053319245131e+01
1.106211569714487780e-06, 6.401060507109725961e-01, 7.647457702233831064e-28, 3.369111699194007770e+01
1.104989236488283926e-06, 6.798078442442809788e-01, -9.753781324786229142e-28, 3.650308648438043946e+01
1.103769601569422635e-06, 7.153821085054572482e-01, 2.763948822683474830e-28, 3.929843691594516031e+01
1.102552656032962323e-06, 7.486381305678402320e-01, 1.905551466159051861e-28, 4.209161714437693291e+01
1.101338390993278556e-06, 7.780821774209933928e-01, -2.718014630499280706e-28, 4.488841221180499730e+01
1.100126797603847002e-06, 8.017819901660884208e-01, 4.473298422135844644e-29, 4.769160435588946001e+01
1.098917867057029552e-06, 8.208805242713412831e-01, 1.444276347093398979e-28, 5.049005981682869759e+01
1.097711590583860444e-06, 8.368061974877740727e-01, 1.347661208759556539e-29, 5.327252144297880676e+01
1.096507959453834295e-06, 8.468988299025447253e-01, -5.281309959349042723e-29, 5.607296517929612634e+01
1.095306964974695401e-06, 8.539441355096583086e-01, -2.469950469442600423e-28, 5.886113973284107459e+01
1.094108598492228519e-06, 8.579384872330599876e-01, 4.975687202205321804e-29, 6.165624598326635208e+01
1.092912851390051131e-06, 8.587960073453947407e-01, 1.206052762339232548e-28, 6.445821715353756076e+01
