# wl (nm), spectrum (a.u.), gdd (fs^2),phase
1.149442826461950470e-06, 6.367713539934778851e-03, -5.125038280012433587e-26, 7.471276360444065290e+01
1.148123144686448798e-06, 6.359656921864417257e-03, 2.585047543533877722e-26, 7.646533210865962360e+01
1.146806489704010275e-06, 6.528205492088367916e-03, -2.663936048680617668e-26, 7.406809968899139562e+01
1.145492851113283974e-06, 6.455662004923033367e-03, 6.504481496382867716e-27, 7.670144756689010990e+01
1.144182218560522853e-06, 6.559888787570372463e-03, 5.564483119443066339e-26, 7.837210665296305478e+01
1.142874581739310801e-06, 6.643225971233848552e-03, -1.385618848233579112e-26, 8.067247983092980235e+01
1.141569930390293282e-06, 6.783125632738760784e-03, 4.540617305737989760e-26, 8.335708013237386638e+01
1.140268254300908612e-06, 7.130636740789259020e-03, 3.694428923198268135e-26, 8.515658545790952871e+01
1.138969543305121779e-06, 7.772871456069908175e-03, 6.864520596618068230e-26, 8.253311904292159795e+01
1.137673787283159113e-06, 8.832673622977783162e-03, 9.327334066694257985e-26, 8.403416800405852882e+01
1.136380976161246547e-06, 9.950447972799657953e-03, 1.220256425970899645e-25, 8.629904509328930828e+01
1.135091099911347257e-06, 1.191605001386687561e-02, 5.748289142644455838e-26, 8.833791298858113805e+01
1.133804148550903519e-06, 1.500274345953572439e-02, 9.556600267864232666e-26, 9.086812811040461213e+01
1.132520112142578583e-06, 1.876204365389225193e-02, 1.566616518611040983e-26, 9.397460785863216870e+01
1.131238980794001077e-06, 2.372996910059656239e-02, 9.670170300409392438e-27, 9.592567777526227246e+01
1.129960744657510689e-06, 3.034366800470757533e-02, 6.511280551999032075e-28, 9.845402940418819071e+01
1.128685393929906169e-06, 3.838785076513481082e-02, -2.352734697836275979e-27, 1.004686543384895288e+02
1.127412918852195036e-06, 4.857075853199508547e-02, 4.002972007894574681e-27, 1.028511168655838048e+02
1.126143309709343490e-06, 6.145353690797211721e-02, -3.927320575586302917e-27, 1.051294760756287161e+02
1.124876556830030348e-06, 7.603258364415613202e-02, 2.960956373340116400e-27, 1.075584346830647320e+02
1.123612650586400981e-06, 9.431044766872041796e-02, -2.559385705189496454e-27, 1.098517341499595972e+02
1.122351581393823581e-06, 1.155646848559663958e-01, 1.976052351985958101e-27, 1.121681353683163280e+02
1.121093339710646698e-06, 1.404980691464728371e-01, -1.280917965653326922e-27, 1.144608611005048289e+02
1.119837916037958470e-06, 1.691490127638435870e-01, 6.415561412148929331e-28, 1.168124160050079325e+02
1.118585300919347760e-06, 2.017428605108268214e-01, -9.865747064115587287e-29, 1.190859627862956955e+02
1.117335484940666988e-06, 2.373556515566156433e-01, 1.160396137028354292e-28, 1.214403921463494669e+02
1.116088458729795595e-06, 2.764814971117345865e-01, 1.457802997928747555e-28, 1.237411067495909833e+02
1.114844212956406899e-06, 3.194196234681276336e-01, 6.291979511590605460e-29, 1.260364563658109631e+02
1.113602738331733676e-06, 3.637286577263862397e-01, -1.720757382451927036e-28, 1.283434205988691872e+02
1.112364025608339041e-06, 4.096127303744233061e-01, 5.773653773330292713e-28, 1.306623340881964737e+02
1.111128065579885419e-06, 4.570011600960694476e-01, -3.294438733697162821e-28, 1.329921521098211485e+02
1.109894849080906690e-06, 5.050045160052329951e-01, 3.827308059125574776e-28, 1.353050848698769926e+02
1.108664366986582034e-06, 5.508617223719485256e-01, 4.677678656917440320e-30, 1.376104157692472825e+02
1.107436610212510409e-06, 5.955860878913844525e-01, 2.342320179898654287e-28, 1.399276590254296764e+02
1.106211569714487780e-06, 6.388410426078884319e-01, -1.754729383274263577e-28, 1.422430868226813061e+02
1.104989236488283926e-06, 6.789797674589295173e-01, 4.768939346206401619e-28, 1.445566641273365178e+02
1.103769601569422635e-06, 7.148566564205204310e-01, -2.447369342828443144e-29, 1.468787039554969454e+02
1.102552656032962323e-06, 7.475391547017381511e-01, -5.054838476294116740e-29, 1.491910349082113214e+02
1.101338390993278556e-06, 7.769436932095274972e-01, 4.382562989983629634e-28, 1.515031705703392220e+02
1.100126797603847002e-06, 7.999295434864595045e-01, -6.213560131868590493e-29, 1.538263342010066026e+02
1.098917867057029552e-06, 8.195112978726408759e-01, 1.680022161153263645e-28, 1.561440385657671186e+02
1.097711590583860444e-06, 8.357479644273440034e-01, 2.696875697372686306e-28, 1.584532588872672818e+02
1.096507959453834295e-06, 8.463371751035930757e-01, 5.012667052634037515e-29, 1.607636176752310746e+02
1.095306964974695401e-06, 8.521846178841695485e-01, 3.364229004269092777e-28, 1.630972703314274668e+02
1.094108598492228519e-06, 8.565100147414204113e-01, 1.093573859198717141e-28, 1.654139755036226518e+02
1.092912851390051131e-06, 8.571250161225334452e-01, 3.247586208051434444e-28, 1.677345666326128537e+02
1.091719715089406984e-06, 8.534356191231184940e-01, 2.612075315204485769e-28, 1.700582786449537309e+02
1.090529181048960680e-06, 8.476400144894091770e-01, 1.414076693682386298e-28, 1.723800768615677725e+02
1.089341240764593544e-06, 8.405537103968634405e-01, 4.360131475186358180e-28, 1.747139904275036315e+02
1.088155885769202239e-06, 8.301085783381952909e-01, 2.044431763866199894e-28, 1.770266206128300155e+02
1.086973107632496541e-06, 8.170262622452489909e-01, 3.810882394576153105e-28, 1.793571589138007312e+02
1.085792897960800071e-06, 8.028878522371749593e-01, 3.174164525862857439e-28, 1.816801688621814890e+02
1.084615248396851242e-06, 7.876150742152094875e-01, 5.248509820826498608e-28, 1.840050855521225515e+02
1.083440150619606540e-06, 7.694895951144168356e-01, 2.916102818241448900e-28, 1.863454009220465082e+02
1.082267596344044220e-06, 7.508693530297102514e-01, 4.821685500281180429e-28, 1.886701636176096315e+02
1.081097577320969700e-06, 7.320385806697714548e-01, 5.119237473547334601e-28, 1.909925383006577420e+02
1.079930085336821805e-06, 7.121532463317125083e-01, 5.012725669598498578e-28, 1.933333743396682962e+02
1.078765112213481123e-06, 6.914788480201251586e-01, 7.463701133352260790e-28, 1.956559156629335234e+02
1.077602649808078579e-06, 6.717854304596153625e-01, 2.177682285315636715e-28, 1.980099384190812657e+02
1.076442690012806119e-06, 6.528346207667646839e-01, 1.030754436142133345e-27, 2.003363857213220172e+02
1.075285224754727825e-06, 6.330944572360709399e-01, 4.947540046784746047e-28, 2.026904797129298572e+02
1.074130245995592718e-06, 6.149320094738075504e-01, 9.097205351160920982e-28, 2.050329928243082520e+02
1.072977745731649050e-06, 5.971570539289390300e-01, 7.641196695466998008e-28, 2.073752933585953429e+02
1.071827715993458586e-06, 5.791996923730626801e-01, 1.051837098307255180e-27, 2.097374216466663199e+02
1.070680148845714074e-06, 5.623779049477720671e-01, 1.063091470194648114e-27, 2.120862742830063894e+02
1.069535036387055437e-06, 5.459133036787824356e-01, 1.056550411197012498e-27, 2.144441708993542761e+02
1.068392370749889777e-06, 5.302786019470474566e-01, 1.354844200842990517e-27, 2.168116683715947204e+02
1.067252144100210112e-06, 5.150959084837690716e-01, 1.554719020334296638e-27, 2.191874059564893855e+02
1.066114348637416650e-06, 5.009202481285410791e-01, 1.186682162000864945e-27, 2.215402398770262948e+02
1.064978976594139339e-06, 4.882404354608366748e-01, 2.105366442612976033e-27, 2.239393213040976036e+02
1.063846020236060408e-06, 4.760927604567252169e-01, 1.857659522077558283e-27, 2.263117475547188917e+02
1.062715471861739463e-06, 4.652290392637639660e-01, 1.977729361686803442e-27, 2.286915181041713367e+02
1.061587323802438141e-06, 4.559840693006613765e-01, 2.317830705574344969e-27, 2.310954331404009281e+02
1.060461568421947959e-06, 4.480364385261978444e-01, 2.614576563857648591e-27, 2.335043365038975764e+02
1.059338198116416244e-06, 4.415854704000495845e-01, 2.903122201956797954e-27, 2.359401374118836259e+02
1.058217205314176731e-06, 4.373032148266716157e-01, 3.165391570836350398e-27, 2.383531469891007077e+02
1.057098582475578243e-06, 4.354005570539307701e-01, 3.577626314820324539e-27, 2.407895388780723067e+02
1.055982322092816139e-06, 4.348611700961608761e-01, 3.524965186380595670e-27, 2.432223592890311465e+02
1.054868416689764598e-06, 4.368571806282157133e-01, 4.244079427374944228e-27, 2.456979205935211894e+02
1.053756858821809118e-06, 4.416069634974249536e-01, 3.600565400695072534e-27, 2.481621381900075676e+02
1.052647641075680923e-06, 4.486233032099948281e-01, 4.555831020893027049e-27, 2.506518274989620068e+02
1.051540756069292213e-06, 4.592813555927226510e-01, 3.970980912463190130e-27, 2.531838445727917133e+02
1.050436196451572263e-06, 4.736118821765091802e-01, 3.986631405739114760e-27, 2.556729771847578263e+02
1.049333954902305219e-06, 4.918906568800948120e-01, 3.235167254852290761e-27, 2.582259030574641656e+02
1.048234024131967253e-06, 5.143127367193992550e-01, 2.872979865524722023e-27, 2.607686844619282738e+02
1.047136396881567322e-06, 5.412235403547557278e-01, 1.630107266756611608e-27, 2.633284375156383703e+02
