# wl (nm), spectrum (a.u.), gdd (fs^2),phase
1.149442826461950470e-06, 5.953604786032650788e-03, -5.861117137911003166e-27, -2.535225549335125663e+02
1.148123144686448798e-06, 5.968268790932631553e-03, -1.538089986858888726e-26, -2.530484705460079624e+02
1.146806489704010275e-06, 6.054030121612831092e-03, 1.481292096490633736e-26, -2.555822925052328571e+02
1.145492851113283974e-06, 6.150554348135529870e-03, 1.769688625599713803e-26, -2.554128634189611091e+02
1.144182218560522853e-06, 6.140721964100714220e-03, -4.805180422646744994e-26, -2.538578679808272796e+02
1.142874581739310801e-06, 6.371358613709596740e-03, -4.205148413631870946e-26, -2.511442058499321490e+02
1.141569930390293282e-06, 6.429163202399320286e-03, 1.504094111321068548e-26, -2.489166901432803911e+02
1.140268254300908612e-06, 7.000923816367473664e-03, -7.636382394399302655e-26, -2.510430104391313364e+02
1.138969543305121779e-06, 7.694852771531560283e-03, -1.957669581091395528e-26, -2.487176096424902880e+02
1.137673787283159113e-06, 8.353776135901297417e-03, -1.135775674466408698e-25, -2.471278188944751832e+02
1.136380976161246547e-06, 1.000908116642662722e-02, -8.031983758627959673e-26, -2.469862703611876498e+02
1.135091099911347257e-06, 1.217574861146946893e-02, -9.665472253713286122e-26, -2.478569294950665665e+02
1.133804148550903519e-06, 1.520846444070266847e-02, -7.511093238170156044e-26, -2.504068542164868632e+02
1.132520112142578583e-06, 1.899806930977887900e-02, -5.139120127472521384e-26, -2.530155025204006733e+02
1.131238980794001077e-06, 2.421183463432100003e-02, -6.606308652510084778e-27, -2.554835705037468472e+02
1.129960744657510689e-06, 3.080970445165250385e-02, -2.994975482046170487e-29, -2.579169039063312425e+02
1.128685393929906169e-06, 3.895216147988193184e-02, -2.253849930123490713e-27, -2.603042050566509147e+02
1.127412918852195036e-06, 4.925653679394186024e-02, -1.004997587635725294e-27, -2.628467273891225204e+02
1.126143309709343490e-06, 6.143792932308136251e-02, 1.990840268966796617e-27, -2.649365921782270448e+02
1.124876556830030348e-06, 7.670585562772126720e-02, 1.603650414113528673e-27, -2.673380923503413555e+02
1.123612650586400981e-06, 9.503670542287123713e-02, -1.770109123309818964e-27, -2.696546090909194504e+02
1.122351581393823581e-06, 1.161801978059529145e-01, 2.066861457220070224e-27, -2.719953259110440058e+02
1.121093339710646698e-06, 1.413020271469632994e-01, 7.835439413781336928e-29, -2.743537867070390917e+02
1.119837916037958470e-06, 1.700490897584360783e-01, 8.218445225132523070e-28, -2.767258731413259056e+02
1.118585300919347760e-06, 2.025026370865346814e-01, 1.513152373297856929e-28, -2.790685532323490747e+02
1.117335484940666988e-06, 2.383583659290171297e-01, 5.297754425016642392e-29, -2.814089718514403557e+02
1.116088458729795595e-06, 2.776600365551546989e-01, 9.958744426650421915e-28, -2.837603741006892051e+02
1.114844212956406899e-06, 3.204126019476414844e-01, 3.777515304209373397e-28, -2.860873370445723367e+02
1.113602738331733676e-06, 3.649501822097599435e-01, 2.836890493778519170e-28, -2.884437802835493585e+02
1.112364025608339041e-06, 4.106677095599861604e-01, 5.193819959875263669e-28, -2.907593669822329048e+02
1.111128065579885419e-06, 4.580586659870980459e-01, 2.922863623011651564e-28, -2.930871331491568412e+02
1.109894849080906690e-06, 5.058819161727338143e-01, 4.622245490251648656e-28, -2.954601548241099636e+02
1.108664366986582034e-06, 5.516812721415977894e-01, 1.165029350911346773e-28, -2.977937756556840441e+02
1.107436610212510409e-06, 5.964280899879070841e-01, 1.668325101119095486e-28, -3.001316288163797594e+02
