# wl (nm), spectrum (a.u.), gdd (fs^2),phase
1.149442826461950470e-06, 6.211234771857879200e-03, 4.154794027087938487e-27, 5.421300520195210026e+01
1.148123144686448798e-06, 6.129265327202476112e-03, -1.288100068272184861e-26, 5.226041610001350790e+01
1.146806489704010275e-06, 6.129129612348301927e-03, -5.062235014754500087e-27, 5.237946348437127142e+01
1.145492851113283974e-06, 6.093156729562044203e-03, 1.335309256518491540e-26, 5.176407191327805180e+01
1.144182218560522853e-06, 6.220712118910389984e-03, 3.932577464962929325e-27, 5.228253903970629324e+01
1.142874581739310801e-06, 6.479808899780788167e-03, 4.164008295708824001e-26, 5.141325941692119272e+01
1.141569930390293282e-06, 6.720674008212234110e-03, -5.848644306507643637e-28, 5.430191184415397032e+01
1.140268254300908612e-06, 7.002856923214897771e-03, 6.655471744939935916e-26, 5.700989099805933336e+01
1.138969543305121779e-06, 7.626510777618530738e-03, 5.075999371792799068e-26, 5.774250049288972519e+01
1.137673787283159113e-06, 8.539318092563709037e-03, 9.424356818723720381e-26, 5.568518289451188252e+01
1.136380976161246547e-06, 9.925005521568480010e-03, 9.781348867458563011e-26, 5.745159558808092015e+01
1.135091099911347257e-06, 1.197012935834824467e-02, 7.833384928171087778e-26, 5.862554069717315031e+01
1.133804148550903519e-06, 1.488252594151075539e-02, 1.265948761225216053e-25, 6.159151124891395312e+01
1.132520112142578583e-06, 1.866389855708989673e-02, 3.700444034476188447e-26, 6.375557805181057347e+01
1.131238980794001077e-06, 2.401080814327070934e-02, 2.765850314808754339e-26, 6.617431719342081919e+01
1.129960744657510689e-06, 3.041024441928360730e-02, -2.326721667035673722e-27, 6.814454770391753868e+01
1.128685393929906169e-06, 3.850453595590116324e-02, 4.998934742044377200e-27, 6.994855930364316521e+01
1.127412918852195036e-06, 4.862240333397824937e-02, -3.909163660992899314e-27, 7.245148337577776942e+01
1.126143309709343490e-06, 6.073712233479858918e-02, -8.264534832177114701e-28, 7.470809592511500341e+01
1.124876556830030348e-06, 7.559018795226521426e-02, 2.383124435843557187e-27, 7.702373343542703310e+01
1.123612650586400981e-06, 9.399329647468664117e-02, -3.331181914813931492e-28, 7.914748534243277334e+01
1.122351581393823581e-06, 1.149808745048318953e-01, -1.399497550116185414e-27, 8.129414019312679329e+01
1.121093339710646698e-06, 1.396698461346821962e-01, 7.441029776222126288e-28, 8.349468816218742973e+01
1.119837916037958470e-06, 1.679494959779577190e-01, -7.976723116224722049e-28, 8.567632663862366371e+01
1.118585300919347760e-06, 2.003311460594411064e-01, 2.069619924308091804e-28, 8.789496580546219207e+01
1.117335484940666988e-06, 2.355651862285808584e-01, -1.920219149141108324e-28, 9.008295358069064207e+01
1.116088458729795595e-06, 2.746083083418858206e-01, -3.130711843902534501e-28, 9.231299449458910544e+01
1.114844212956406899e-06, 3.170154945358298892e-01, -7.622278114198218545e-29, 9.450974249520290016e+01
1.113602738331733676e-06, 3.613276554332024992e-01, -3.371292744845287930e-28, 9.670618568157415496e+01
1.112364025608339041e-06, 4.063872571566350400e-01, 2.229948613475211352e-28, 9.889638946010501286e+01
1.111128065579885419e-06, 4.536331429359402034e-01, -3.089420920165952733e-28, 1.010986351230733504e+02
1.109894849080906690e-06, 5.010953226391514637e-01, -1.270140043042864074e-28, 1.032913470436198367e+02
1.108664366986582034e-06, 5.466886165028523870e-01, -3.535040978766813918e-28, 1.054880362464633663e+02
1.107436610212510409e-06, 5.907512941552395258e-01, 3.553634421866409342e-29, 1.076920925683800334e+02
1.106211569714487780e-06, 6.336632849672892975e-01, -1.316399035765593218e-28, 1.098936957770454796e+02
1.104989236488283926e-06, 6.740117082624524913e-01, -2.227173673727083679e-28, 1.120797788689344969e+02
1.103769601569422635e-06, 7.094377864951697532e-01, -1.890031630850567664e-28, 1.142747640165868290e+02
1.102552656032962323e-06, 7.422426099946415334e-01, -2.166166685203701408e-28, 1.164602128795374796e+02
1.101338390993278556e-06, 7.708035695398149922e-01, -2.860610321174724224e-29, 1.186464998673775995e+02
1.100126797603847002e-06, 7.940682067164566149e-01, -4.020407135979127424e-28, 1.208406132884253879e+02
1.098917867057029552e-06, 8.134379538859639602e-01, -3.961547446627430690e-29, 1.230446930542035346e+02
1.097711590583860444e-06, 8.297813089139657317e-01, -9.092130977672709872e-29, 1.252386815736386296e+02
1.096507959453834295e-06, 8.401372131957905998e-01, -4.167356349911968726e-28, 1.274093134622580834e+02
1.095306964974695401e-06, 8.467518136891157843e-01, -4.574077657909280039e-29, 1.296108204598067459e+02
1.094108598492228519e-06, 8.502833083490285437e-01, -2.310475917382207024e-28, 1.317931091495622979e+02
1.092912851390051131e-06, 8.514672358230505056e-01, -1.104134494471484732e-28, 1.339784477102589335e+02
1.091719715089406984e-06, 8.475067807323163338e-01, -1.634786073884113380e-28, 1.361639920680130444e+02
1.090529181048960680e-06, 8.420940520541239094e-01, -2.347132449187990458e-28, 1.383497435059690304e+02
1.089341240764593544e-06, 8.349936196590168613e-01, 1.346095216426396702e-29, 1.405430721705744190e+02
1.088155885769202239e-06, 8.245749481667107306e-01, -3.007651872575443535e-28, 1.427114816246022428e+02
1.086973107632496541e-06, 8.118741122802298760e-01, -1.770180431010057555e-28, 1.448968838008582907e+02
1.085792897960800071e-06, 7.981465785891752596e-01, -1.338189599803503868e-28, 1.470879076996954495e+02
1.084615248396851242e-06, 7.829745198494169056e-01, -1.352419704197939951e-28, 1.492746110381640960e+02
1.083440150619606540e-06, 7.649112993949762629e-01, -1.443615388418908476e-29, 1.514424624904057168e+02
1.082267596344044220e-06, 7.466895162520255091e-01, -5.498120478763633916e-28, 1.536467821744057574e+02
1.081097577320969700e-06, 7.277747279802461167e-01, 1.104791622706602210e-28, 1.558145171651369196e+02
1.079930085336821805e-06, 7.078934105945772215e-01, -2.346809567769437484e-28, 1.580002824630335283e+02
1.078765112213481123e-06, 6.874084085562027768e-01, -2.613841970615603415e-28, 1.601847973679056736e+02
1.077602649808078579e-06, 6.681193740203300591e-01, -2.546892424151796272e-28, 1.623583009939571298e+02
1.076442690012806119e-06, 6.489986213181269115e-01, -5.041661612503658663e-29, 1.645295956514424631e+02
1.075285224754727825e-06, 6.298425425826921220e-01, -1.960105978707507244e-28, 1.667094930825301162e+02
1.074130245995592718e-06, 6.116110827523802973e-01, -2.379410051642802504e-28, 1.688781834214990738e+02
1.072977745731649050e-06, 5.938063391711272399e-01, -1.818572922896544012e-28, 1.710740021592361870e+02
1.071827715993458586e-06, 5.764521717684129021e-01, -2.898987396017476357e-28, 1.732584083066412575e+02
1.070680148845714074e-06, 5.596228569848766821e-01, -5.454329055880531288e-29, 1.754200385579397619e+02
1.069535036387055437e-06, 5.433637802110016235e-01, -3.720389255617952349e-28, 1.775844963991395673e+02
1.068392370749889777e-06, 5.277100498235429704e-01, -1.206097365746168050e-28, 1.797621555146477874e+02
1.067252144100210112e-06, 5.126447540040589557e-01, -1.779309344917755303e-28, 1.819534981073835525e+02
1.066114348637416650e-06, 4.989853455908495050e-01, -1.304570776579864744e-28, 1.841177034791116967e+02
1.064978976594139339e-06, 4.860652053956519003e-01, -2.749910047599905055e-28, 1.862994816342406637e+02
1.063846020236060408e-06, 4.738916380133955109e-01, -2.463774160367479681e-28, 1.884765417788512138e+02
1.062715471861739463e-06, 4.635470739151585917e-01, -4.438188705561239912e-29, 1.906258963727928801e+02
1.061587323802438141e-06, 4.541882513299276836e-01, -2.311520493046732121e-28, 1.927989395640689452e+02
1.060461568421947959e-06, 4.468013569266740537e-01, -3.412301003079102761e-28, 1.949808666512664388e+02
1.059338198116416244e-06, 4.407802671886041357e-01, 1.343772872929095157e-28, 1.971403087591546068e+02
1.058217205314176731e-06, 4.364868903460525362e-01, -3.826680241538260138e-28, 1.992908479205492824e+02
1.057098582475578243e-06, 4.342355135250877129e-01, -1.290191442489599964e-28, 2.014602042919052849e+02
1.055982322092816139e-06, 4.342003611974987187e-01, -4.345946955728040599e-28, 2.036378418819936940e+02
1.054868416689764598e-06, 4.365454399422515341e-01, 1.738909108003577513e-28, 2.058051094941830286e+02
1.053756858821809118e-06, 4.409936642456372957e-01, -4.700902291991271980e-28, 2.079782468107800355e+02
1.052647641075680923e-06, 4.485505505158368655e-01, -1.016504438639830659e-28, 2.101457263418324430e+02
1.051540756069292213e-06, 4.593981306776143136e-01, -2.191649841226393617e-28, 2.123094099860768154e+02
1.050436196451572263e-06, 4.736053561010057367e-01, -1.304833779002542819e-28, 2.144621074884707070e+02
1.049333954902305219e-06, 4.920290740524547735e-01, -3.005307682879685544e-28, 2.166381849649054061e+02
