# wl (nm), spectrum (a.u.), gdd (fs^2),phase
1.149442826461950470e-06, 6.393195713701730482e-03, 6.492120229363979246e-27, -1.753622596653297805e+01
1.148123144686448798e-06, 6.615876095165668450e-03, -1.345369332122046153e-26, -1.899457518256224731e+01
1.146806489704010275e-06, 6.425365983853160122e-03, 4.284192461304734752e-26, -1.904529805566177458e+01
1.145492851113283974e-06, 6.440999142135509295e-03, -1.796258429960483498e-26, -2.114323374858724591e+01
1.144182218560522853e-06, 6.696897517220566989e-03, 9.929356205091738649e-27, -2.098710276218843873e+01
1.142874581739310801e-06, 6.702336737541641186e-03, -8.057649339059189980e-27, -2.369039791000576045e+01
1.141569930390293282e-06, 6.867328445351895787e-03, -3.568808579651633379e-26, -2.520713924423632690e+01
1.140268254300908612e-06, 7.184210194444350280e-03, 3.338199651730414592e-26, -2.793515934419012936e+01
1.138969543305121779e-06, 7.699494164546441012e-03, -5.440650510155243187e-26, -2.948911605053008600e+01
1.137673787283159113e-06, 8.640020769363671721e-03, -3.955755000764341617e-26, -2.733615408899052213e+01
1.136380976161246547e-06, 1.011636937114812097e-02, -4.259552086948804028e-26, -3.030853508403976804e+01
1.135091099911347257e-06, 1.214881689330229997e-02, -4.242545263550370408e-26, -3.283588912406906246e+01
1.133804148550903519e-06, 1.486351607225251149e-02, -4.613496994132875206e-26, -3.595921269748895810e+01
1.132520112142578583e-06, 1.881508890903598255e-02, -1.231488991438361347e-25, -3.875933430239273747e+01
1.131238980794001077e-06, 2.385867906558034740e-02, -7.309860324712128041e-26, -4.159651125820916207e+01
1.129960744657510689e-06, 3.057374174423460947e-02, -1.051766955686312005e-25, -4.421945280433318715e+01
1.128685393929906169e-06, 3.859865865560996312e-02, -8.624988778190310686e-26, -4.709464566825050724e+01
1.127412918852195036e-06, 4.868896401804132662e-02, -7.520825922924263588e-26, -4.985754801602742248e+01
1.126143309709343490e-06, 6.113725482062083022e-02, -7.948063471718051240e-26, -5.274220067419705060e+01
1.124876556830030348e-06, 7.623362882248184424e-02, -5.051899306425940454e-26, -5.553538122308032854e+01
1.123612650586400981e-06, 9.468691642742420311e-02, -9.159204452161256883e-27, -5.836990842581169403e+01
1.122351581393823581e-06, 1.158311769089036547e-01, -3.219500032514690803e-27, -6.118779163044323610e+01
