# wl (nm), spectrum (a.u.), gdd (fs^2),phase
1.149442826461950470e-06, 5.904057470841667619e-03, -6.111827229017325784e-26, -6.602066658897867057e+01
1.148123144686448798e-06, 5.962981030008119264e-03, 5.473677791281608916e-26, -6.451707326916456964e+01
1.146806489704010275e-06, 5.806408955627675832e-03, -2.391651485351344499e-26, -6.418277978152076457e+01
1.145492851113283974e-06, 5.987541457997484426e-03, 5.329077855211868260e-26, -6.375659969881481004e+01
1.144182218560522853e-06, 6.168965225481176477e-03, -9.577815467935870610e-27, -6.555127861531042299e+01
1.142874581739310801e-06, 6.004074457047866437e-03, -3.818370460968252038e-26, -6.800866340931317211e+01
1.141569930390293282e-06, 6.281739668897014760e-03, 6.038289234269971609e-26, -6.562538486968846030e+01
1.140268254300908612e-06, 6.762354365668040920e-03, 2.235644956589301714e-26, -6.831225086238035260e+01
1.138969543305121779e-06, 7.492354032576700566e-03, 1.876561749535844300e-26, -6.733384950764960308e+01
1.137673787283159113e-06, 8.574777302579434171e-03, 7.524386636632343550e-26, -7.012605033125147713e+01
1.136380976161246547e-06, 9.913074865281288478e-03, 1.011093993246170864e-25, -6.812519275435032284e+01
1.135091099911347257e-06, 1.182420022354221598e-02, 9.488849815406690981e-26, -6.618888780278301454e+01
1.133804148550903519e-06, 1.509023869233301271e-02, 9.991435399145972214e-26, -6.355054260760218909e+01
1.132520112142578583e-06, 1.915496947932278024e-02, 1.089575521008542295e-25, -6.114117530006434720e+01
1.131238980794001077e-06, 2.418033857539140727e-02, 7.574633647919057386e-26, -5.894726484696091973e+01
1.129960744657510689e-06, 3.056071904904185399e-02, 3.710289880586052079e-26, -5.639926416902406459e+01
1.128685393929906169e-06, 3.916658535692921217e-02, 3.704596715839396250e-26, -5.390813021137039840e+01
1.127412918852195036e-06, 4.942840429100764377e-02, 2.683670929981949660e-27, -5.172055811107819068e+01
1.126143309709343490e-06, 6.175756830682549436e-02, 8.602878189723974880e-27, -4.929068821019667013e+01
1.124876556830030348e-06, 7.697441071114020927e-02, 9.332035597836965069e-27, -4.682423427769712276e+01
1.123612650586400981e-06, 9.545906741841538035e-02, -1.604652838200264973e-27, -4.449807116672771912e+01
1.122351581393823581e-06, 1.166944667433235244e-01, -5.334566989601904841e-28, -4.215370147339157825e+01
1.121093339710646698e-06, 1.417690280083804266e-01, 3.861730502636370978e-28, -3.964609690008170872e+01
1.119837916037958470e-06, 1.706482133727669492e-01, -8.586370405611741126e-29, -3.727561599523598801e+01
1.118585300919347760e-06, 2.030426608421432855e-01, -4.575318190741097148e-28, -3.484629448534082741e+01
1.117335484940666988e-06, 2.388719403640379713e-01, 2.386096226901586436e-28, -3.245560926857339723e+01
1.116088458729795595e-06, 2.784140694815736006e-01, 1.946745831642995422e-28, -3.003857716632451513e+01
1.114844212956406899e-06, 3.212363648481703637e-01, -5.523757206832727770e-28, -2.764059836044932439e+01
1.113602738331733676e-06, 3.660809716567985372e-01, 4.224589096978179611e-28, -2.526900254769710941e+01
1.112364025608339041e-06, 4.118460221846918512e-01, -2.409092410868739529e-29, -2.284179147133509602e+01
1.111128065579885419e-06, 4.594166519907685875e-01, -1.485764759316002514e-28, -2.046806883237032437e+01
1.109894849080906690e-06, 5.072531636079617989e-01, -7.474017867211873435e-29, -1.807638627455239444e+01
1.108664366986582034e-06, 5.535100624837571148e-01, 1.576583163661830001e-28, -1.568044502953540764e+01
