# Wavelength (nm), GDD avearged (fs^2)
1.149442826461950517e+03, 3.430783349083394569e+04
1.148123144686448768e+03, -1.026106604831498043e+04
1.146806489704010346e+03, -1.063075123719043040e+04
1.145492851113283905e+03, -1.515615680151795823e+04
1.144182218560522870e+03, -3.603749660853572095e+03
1.142874581739310770e+03, -1.796159596426437201e+04
1.141569930390293393e+03, -6.864424188970857358e+04
1.140268254300908666e+03, 8.179746822465935111e+03
1.138969543305121761e+03, -3.337072127030189586e+04
1.137673787283159072e+03, -3.423335998631299299e+04
1.136380976161246508e+03, -7.626604358135155053e+04
1.135091099911347328e+03, -6.180657029055073508e+03
1.133804148550903619e+03, -1.156361453721416037e+05
1.132520112142578682e+03, -8.151725546463504725e+04
1.131238980794001009e+03, -1.000770457459501777e+05
1.129960744657510759e+03, -3.832959472029084282e+04
1.128685393929906240e+03, -4.519699306198997510e+04
1.127412918852194935e+03, -7.474171607108163880e+04
1.126143309709343384e+03, -4.135551783328531747e+04
1.124876556830030268e+03, -4.502259658097755164e+04
1.123612650586401060e+03, -2.176457152835931265e+04
1.122351581393823608e+03, -7.388014732066162651e+03
1.121093339710646660e+03, -3.788184614228129249e+03
1.119837916037958394e+03, -3.968269131372849188e+03
1.118585300919347674e+03, 5.110363285895552821e+01
1.117335484940666902e+03, 4.263707247049100033e+02
1.116088458729795548e+03, 7.871665990737302820e+01
1.114844212956406864e+03, 1.913320239979244377e+02
1.113602738331733690e+03, 4.088118035240385240e+01
1.112364025608339034e+03, 2.506192796648545311e+02
1.111128065579885515e+03, 2.435651204350623544e+01
1.109894849080906624e+03, 3.120537999815336434e+02
1.108664366986582081e+03, -4.712424078696779617e+01
1.107436610212510459e+03, 1.485625241374135896e+02
1.106211569714487723e+03, 5.179493277862874123e+01
1.104989236488283950e+03, 1.709841188152308860e+02
1.103769601569422548e+03, 2.443764936278294613e+02
1.102552656032962432e+03, 2.405914678106006477e+02
1.101338390993278608e+03, 2.738758639920517908e+02
1.100126797603847081e+03, 1.585852348342534697e+02
1.098917867057029525e+03, 2.218355477190862359e+02
1.097711590583860470e+03, 2.067559803393308471e+02
1.096507959453834246e+03, 2.483838370805713112e+02
1.095306964974695347e+03, 2.465384927929945036e+02
1.094108598492228566e+03, 3.358842164734913922e+02
1.092912851390051173e+03, 2.801006257083014361e+02
1.091719715089406918e+03, 2.132275703096242694e+02
1.090529181048960709e+03, 3.701918923898558234e+01
1.089341240764593522e+03, 1.323857108013789912e+02
1.088155885769202314e+03, 1.304506387718247424e+02
1.086973107632496522e+03, 1.479582105232439631e+02
1.085792897960800019e+03, 2.328075857723916045e+02
1.084615248396851257e+03, 1.434252806359613714e+02
1.083440150619606584e+03, 1.818751459375612569e+02
1.082267596344044250e+03, 3.950729829325709375e+01
1.081097577320969776e+03, 3.335511424176409037e+02
1.079930085336821776e+03, 2.049456921195247219e+02
1.078765112213481189e+03, 1.747437884003707609e+02
1.077602649808078468e+03, 1.267262130570547498e+02
1.076442690012806224e+03, 3.225733689187522941e+02
1.075285224754727778e+03, 3.313806161023579193e+02
1.074130245995592759e+03, 3.444235466607039484e+02
1.072977745731649065e+03, 1.388256870952479858e+02
1.071827715993458696e+03, 2.347139882587193256e+02
1.070680148845714029e+03, 1.391315695421220084e+02
1.069535036387055470e+03, 3.385271318124195545e+02
1.068392370749889778e+03, 2.085715841083864461e+02
1.067252144100210216e+03, 3.652840432444383509e+02
1.066114348637416697e+03, 5.240391847179419216e+01
1.064978976594139340e+03, 2.150886440800207140e+02
1.063846020236060440e+03, -3.905197258501429047e+01
1.062715471861739388e+03, 3.967430100812389355e+02
1.061587323802438050e+03, 2.273350536323017650e+02
1.060461568421947959e+03, 1.290091797377140210e+02
1.059338198116416152e+03, -8.256485192891846125e+00
1.058217205314176681e+03, 1.644607442480595978e+02
1.057098582475578269e+03, 3.486333018583046055e+02
1.055982322092816048e+03, 3.629279517389997523e+02
1.054868416689764672e+03, 3.277197807778675269e+02
1.053756858821809146e+03, 1.819200642117249060e+02
1.052647641075680895e+03, 3.191451551570379479e+02
1.051540756069292229e+03, 9.528857166656850097e+01
1.050436196451572187e+03, 4.855378132816388757e+02
1.049333954902305322e+03, 2.163344777334103526e+02
1.048234024131967317e+03, 3.320964459767597532e+02
1.047136396881567407e+03, 2.321561620662247094e+02
1.046041065922486268e+03, 4.752318986261720823e+01
1.044948024056318445e+03, 2.697639376084312630e+02
1.043857264114715008e+03, 1.034272507916253403e+02
1.042768778959225301e+03, 2.934958488362481148e+02
1.041682561481142784e+03, 1.883947533551947515e+02
1.040598604601349507e+03, 1.455284519925185691e+02
1.039516901270163316e+03, 2.075922042400871419e+02
1.038437444467182786e+03, 2.239363068110592963e+02
1.037360227201138059e+03, 2.457586372081935338e+02
1.036285242509737600e+03, 2.536211284437331699e+02
1.035212483459520627e+03, 1.595212084628140872e+02
1.034141943145705000e+03, 3.989964542220517387e+02
1.033073614692042156e+03, 2.844044501874077469e+02
1.032007491250667499e+03, 3.680906541973283765e+02
1.030943566001955332e+03, 1.744625332691713595e+02
1.029881832154373797e+03, 3.276422450687311425e+02
1.028822282944338440e+03, 2.337324730073187027e+02
1.027764911636071020e+03, 1.438995293746884272e+02
1.026709711521454892e+03, 1.424544945556235120e+02
1.025656675919894269e+03, -9.540650318298320443e-01
1.024605798178173245e+03, 5.226441249785253831e+02
1.023557071670314144e+03, -5.029221250601775495e+01
1.022510489797440641e+03, -2.649973011852630407e+02
1.021466045987637244e+03, 3.611223877760965593e+02
1.020423733695813212e+03, 3.122797462263081798e+03
1.019383546403564537e+03, 1.992224888817075407e+04
1.018345477619039571e+03, 5.873930382567359629e+04
1.017309520876802594e+03, 8.649721659856574843e+04
1.016275669737700127e+03, 1.402991790291699872e+05
1.015243917788727686e+03, 1.047561631234369706e+05
1.014214258642897335e+03, 1.401149407126531878e+05
1.013186685939105359e+03, 8.405427780081046512e+04
1.012161193342000956e+03, 9.995475326579940156e+04
1.011137774541857311e+03, 3.534504532398013544e+04
1.010116423254441315e+03, 2.388688823608958410e+04
1.009097133220884871e+03, 2.293875644212550014e+03
1.008079898207557449e+03, 1.302111687057641348e+03
1.007064712005938532e+03, 2.186691482317593182e+04
1.006051568432491877e+03, 1.237092813993414438e+03
1.005040461328539550e+03, 3.155503420312971230e+03
1.004031384560137326e+03, 6.721123690847559374e+03
1.003024332017950655e+03, -2.218418119012855186e+03
1.002019297617131201e+03, -1.904274790750138345e+04
1.001016275297194056e+03, -1.236542840202397929e+04
1.000015259021896782e+03, 1.886337572955500582e+04
9.990162427791177606e+02, 1.724693010129490722e+04
9.980192205807355776e+02, -9.043174139352253405e+03
9.970241864625094195e+02, -2.285598537856153780e+04
9.960311344839610683e+02, -1.105468072083433617e+04
9.950400587282556444e+02, -3.215087284722921686e+04
9.940509533020843946e+02, 2.866758558377180088e+04
9.930638123355481639e+02, 2.407676183930998832e+03
9.920786299820405247e+02, 3.438504220491925662e+04
9.910954004181337496e+02, -1.818926841490833976e+04
9.901141178434621679e+02, -7.034212726144960470e+03
9.891347764806101850e+02, -7.695855359776835940e+03
9.881573705749970031e+02, 4.098210694955099825e+03
9.871818943947647540e+02, 1.366725496559724161e+04
9.862083422306675402e+02, 2.908776278781191195e+03
9.852367083959575211e+02, -1.363109045773181788e+04
9.842669872262764557e+02, 1.453923438520813579e+04
9.832991730795447438e+02, 5.691944210542241308e+03
9.823332603358516053e+02, 1.166750942612579820e+04
9.813692433973473044e+02, -1.752661683264776730e+04
9.804071166881341242e+02, 1.573145036339623039e+04
9.794468746541596147e+02, -1.216819604891417112e+04
9.784885117631084768e+02, 4.240002916645003279e+04
9.775320225042980837e+02, -2.913515714511265469e+04
9.765774013885712748e+02, -3.824084416012614838e+03
9.756246429481919904e+02, -3.051269396171729022e+04
9.746737417367414764e+02, -9.671783233533424209e+03
9.737246923290135783e+02, 3.125391577557794153e+04
9.727774893209113998e+02, -2.261802395748905838e+04
9.718321273293457807e+02, 4.010957924716445632e+03
9.708886009921328650e+02, -1.343256474643280671e+04
9.699469049678921238e+02, 1.619371424078546806e+04
9.690070339359467653e+02, -1.932857604224925126e+03
9.680689825962216446e+02, 1.930522757657353941e+04
9.671327456691459474e+02, -7.870602314954352551e+03
9.661983178955525773e+02, 1.567575498213489664e+04
9.652656940365801574e+02, -1.342520644647809786e+04
9.643348688735745782e+02, 2.999171253194678138e+04
9.634058372079932724e+02, -1.038815496884037384e+04
9.624785938613059670e+02, 2.559811357838033928e+03
9.615531336749007778e+02, -2.822330284308791670e+04
9.606294515099874616e+02, 1.525303425686328956e+04
9.597075422475016921e+02, -1.611877113994414867e+04
9.587874007880124054e+02, 5.021993985654479729e+03
9.578690220516251657e+02, 4.256948070151999673e+03
9.569524009778917844e+02, -1.108888915502941018e+04
9.560375325257140275e+02, 1.757401974984778280e+04
9.551244116732540306e+02, -1.889677545105510217e+04
9.542130334178406201e+02, -3.913268154185882850e+03
9.533033927758788195e+02, -6.079926606446171036e+02
9.523954847827590129e+02, 3.108111144360114122e+04
9.514893044927658821e+02, -3.128166335222425687e+02
9.505848469789895034e+02, -2.378260620889180063e+04
